gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
924542216	95f132fe-f762-11e1-a439-00145eb45e9a	73f2a410-f81d-11e6-a7f4-70e2840fc270	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Pipistrellus	Pipistrellus abramus	NA	SPECIES	Pipistrellus abramus (Temminck, 1838)	Pipistrellus abramus		JP		Kanagawa Prefecture	PRESENT	NA	4fd82480-ea1c-11da-8db4-b8a03c50a862	NA	NA	NA	NA	NA	NA	NA	NA	1964-09-02	2	9	1964	5707125	5707125	PRESERVED_SPECIMEN	KPM	NFM	KPM-NFM002782				CC_BY_4_0					2025-07-05T03:14:53.134Z		INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
924542215	95f132fe-f762-11e1-a439-00145eb45e9a	73ff0e58-f81d-11e6-837e-70e2840fc270	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Pipistrellus	Pipistrellus abramus	NA	SPECIES	Pipistrellus abramus (Temminck, 1838)	Pipistrellus abramus		KR			PRESENT	NA	4fd82480-ea1c-11da-8db4-b8a03c50a862	NA	NA	NA	NA	NA	NA	NA	NA	1975-11-01	1	11	1975	5707125	5707125	PRESERVED_SPECIMEN	KPM	NFM	KPM-NFM003928				CC_BY_4_0					2025-07-05T03:14:51.569Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
924542214	95f132fe-f762-11e1-a439-00145eb45e9a	73e6b574-f81d-11e6-9b3e-70e2840fc270	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Pipistrellus	Pipistrellus abramus	NA	SPECIES	Pipistrellus abramus (Temminck, 1838)	Pipistrellus abramus		JP		Kanagawa Prefecture	PRESENT	NA	4fd82480-ea1c-11da-8db4-b8a03c50a862	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	5707125	5707125	PRESERVED_SPECIMEN	KPM	NFM	KPM-NFM002411				CC_BY_4_0					2025-07-05T03:14:52.227Z		INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
924542213	95f132fe-f762-11e1-a439-00145eb45e9a	73e88372-f81d-11e6-9590-70e2840fc270	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Pipistrellus	Pipistrellus abramus	NA	SPECIES	Pipistrellus abramus (Temminck, 1838)	Pipistrellus abramus		JP		Kanagawa Prefecture	PRESENT	NA	4fd82480-ea1c-11da-8db4-b8a03c50a862	NA	NA	NA	NA	NA	NA	NA	NA	1961-05-07	7	5	1961	5707125	5707125	PRESERVED_SPECIMEN	KPM	NFM	KPM-NFM002434				CC_BY_4_0					2025-07-05T03:14:50.830Z		INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
865741148	5a659248-1f70-11e3-b2c5-00145eb45e9a	MHNG-MAMO-723.043	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Pipistrellus	Pipistrellus abramus	NA	SPECIES	Pipistrellus abramus (Temminck, 1838)	Pipistrellus abramus (Temminck, 1838)	(Temminck, 1838)	CN	Y	Guangdong Province	PRESENT	NA	9661d20d-86b6-4485-8948-f3c86b022fa7	23.033314	113.733419	NA	NA	NA	NA	NA	NA	1903	NA	NA	1903	5707125	5707125	PRESERVED_SPECIMEN	MHNG	MHNG-MAMO	MHNG-MAMO-723.043				CC_BY_NC_4_0		KŸhne			2025-07-04T21:58:46.699Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_ID_NOT_FOUND
865740863	5a659248-1f70-11e3-b2c5-00145eb45e9a	MHNG-MAMO-1701.047	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Pipistrellus	Pipistrellus abramus	NA	SPECIES	Pipistrellus abramus (Temminck, 1838)	Pipistrellus abramus (Temminck, 1838)	(Temminck, 1838)	CN	Y	Guangdong Province	PRESENT	NA	9661d20d-86b6-4485-8948-f3c86b022fa7	23.033314	113.733419	NA	NA	NA	NA	NA	NA	1911-05-30	30	5	1911	5707125	5707125	PRESERVED_SPECIMEN	MHNG	MHNG-MAMO	MHNG-MAMO-1701.047				CC_BY_NC_4_0		KŸhne			2025-07-04T21:58:42.484Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_ID_NOT_FOUND
865740850	5a659248-1f70-11e3-b2c5-00145eb45e9a	MHNG-MAMO-1703.069	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Pipistrellus	Pipistrellus abramus	NA	SPECIES	Pipistrellus abramus (Temminck, 1838)	Pipistrellus abramus (Temminck, 1838)	(Temminck, 1838)	CN	Y	Fujian	PRESENT	NA	9661d20d-86b6-4485-8948-f3c86b022fa7	25.900013	118.299999	NA	NA	NA	NA	NA	NA	1983-07-26	26	7	1983	5707125	5707125	PRESERVED_SPECIMEN	MHNG	MHNG-MAMO	MHNG-MAMO-1703.069				CC_BY_NC_4_0		J. Garzoni			2025-07-04T21:58:49.962Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_ID_NOT_FOUND
865740320	5a659248-1f70-11e3-b2c5-00145eb45e9a	MHNG-MAMO-1935.043	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Pipistrellus	Pipistrellus abramus	NA	SPECIES	Pipistrellus abramus (Temminck, 1838)	Pipistrellus abramus (Temminck, 1838)	(Temminck, 1838)	VN	Y		PRESENT	NA	9661d20d-86b6-4485-8948-f3c86b022fa7	21.006694	105.835635	NA	NA	NA	NA	NA	NA	1994-08	NA	8	1994	5707125	5707125	PRESERVED_SPECIMEN	MHNG	MHNG-MAMO	MHNG-MAMO-1935.043				CC_BY_NC_4_0		G. Kuznetsov			2025-07-04T21:58:44.122Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_ID_NOT_FOUND
865740319	5a659248-1f70-11e3-b2c5-00145eb45e9a	MHNG-MAMO-1935.044	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Pipistrellus	Pipistrellus abramus	NA	SPECIES	Pipistrellus abramus (Temminck, 1838)	Pipistrellus abramus (Temminck, 1838)	(Temminck, 1838)	VN	Y		PRESENT	NA	9661d20d-86b6-4485-8948-f3c86b022fa7	21.006694	105.835635	NA	NA	NA	NA	NA	NA	1994-08	NA	8	1994	5707125	5707125	PRESERVED_SPECIMEN	MHNG	MHNG-MAMO	MHNG-MAMO-1935.044				CC_BY_NC_4_0		G. Kuznetsov			2025-07-04T21:58:44.122Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_ID_NOT_FOUND
865740310	5a659248-1f70-11e3-b2c5-00145eb45e9a	MHNG-MAMO-1935.045	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Pipistrellus	Pipistrellus abramus	NA	SPECIES	Pipistrellus abramus (Temminck, 1838)	Pipistrellus abramus (Temminck, 1838)	(Temminck, 1838)	VN	Y		PRESENT	NA	9661d20d-86b6-4485-8948-f3c86b022fa7	21.006694	105.835635	NA	NA	NA	NA	NA	NA	1994-08	NA	8	1994	5707125	5707125	PRESERVED_SPECIMEN	MHNG	MHNG-MAMO	MHNG-MAMO-1935.045				CC_BY_NC_4_0		G. Kuznetsov			2025-07-04T21:58:44.122Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_ID_NOT_FOUND
