Accession.number	Subgenus	Genus	Family	Gene.encoded	Definition	Organism	isolate.name	collection.date	Country	Host	Note
EF065510.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat coronavirus HKU5-2, complete genome	Bat coronavirus HKU5-2	TT03f		China: Guangdong province	bat	
NC_009020.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Pipistrellus bat coronavirus HKU5, complete genome	Pipistrellus bat coronavirus HKU5	HKU5-1 LMH03f		China: Guangdong province	bat	
KC522090.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Pipistrellus bat coronavirus HKU5 isolate 16S spike glycoprotein gene, complete cds	Pipistrellus bat coronavirus HKU5	16S	12-Jul-2007	Hong Kong	bat	
KC522091.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Pipistrellus bat coronavirus HKU5 isolate 17S spike glycoprotein gene, complete cds	Pipistrellus bat coronavirus HKU5	17S	08-Oct-2007	Hong Kong	bat	
KC522092.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Pipistrellus bat coronavirus HKU5 isolate 18S spike glycoprotein gene, complete cds	Pipistrellus bat coronavirus HKU5	18S	30-Oct-2007	Hong Kong	bat	
KC522093.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Pipistrellus bat coronavirus HKU5 isolate 19S spike glycoprotein gene, complete cds	Pipistrellus bat coronavirus HKU5	19S	30-Oct-2007	Hong Kong	bat	
KC522094.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Pipistrellus bat coronavirus HKU5 isolate 20S spike glycoprotein gene, complete cds	Pipistrellus bat coronavirus HKU5	20S	30-Oct-2007	Hong Kong	bat	
KC522095.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Pipistrellus bat coronavirus HKU5 isolate 21S spike glycoprotein gene, complete cds	Pipistrellus bat coronavirus HKU5	21S	30-Oct-2007	Hong Kong	bat	
KC522096.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Pipistrellus bat coronavirus HKU5 isolate 22S spike glycoprotein gene, complete cds	Pipistrellus bat coronavirus HKU5	22S	10-Sep-2008	Hong Kong	bat	
KC522097.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Pipistrellus bat coronavirus HKU5 isolate 24S spike glycoprotein gene, complete cds	Pipistrellus bat coronavirus HKU5	24S	24-Apr-2009	Hong Kong	bat	
KC522098.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Pipistrellus bat coronavirus HKU5 isolate 26S spike glycoprotein gene, complete cds	Pipistrellus bat coronavirus HKU5	26S	14-Jul-2009	Hong Kong	bat	
KC522099.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Pipistrellus bat coronavirus HKU5 isolate 27S spike glycoprotein gene, complete cds	Pipistrellus bat coronavirus HKU5	27S	14-Jul-2009	Hong Kong	bat	
KC522100.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Pipistrellus bat coronavirus HKU5 isolate 28S spike glycoprotein gene, complete cds	Pipistrellus bat coronavirus HKU5	28S	14-Jul-2009	Hong Kong	bat	
