ID	Complez	Filename_best.model	Virus_name	Virus_accession	Official_name	RBD_accession	Receptor	Receptor_accession	loop2.length	entry	mean_ipTM	median_ipTM	SD	local_iptm_best.model	global_iptm_local_iptm_best.model	global_ptm_best.model	ACE2_residues	X	X.1	X.2	X.3	X.4	X.5	X.6	X.7	X.8
1	HKU5-17S_NVACE2_complex	1_HKU5-17S_NVACE2_complex_seed-42_sample-1	HKU5-17S	AGP04930	17S	KC522091.1	NVACE2	XM_044236017.1	long	entry-negative	0.1512	0.15	0.019433648	0.18	0.18	0.67	47,48,50,51,52,53,54,55,56,59,60,62,63,117,118,121,122,124,125,127,128,129,131,143,144,145,273,335,336,338,339,340,341,342,343,344,345,346,347,348,349,359,375,378,394,402,504,505,510,514,515	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	HKU5-20S_NVACE2_complex	2_HKU5-20S_NVACE2_complex_seed-42_sample-0	HKU5-20S	AGP04933	20S	KC522094.1	NVACE2	XM_044236017.1	long	entry-negative	0.56	0.83	0.33767588	0.83	0.83	0.8	26,30,33,34,37,41,90,92,93,96,323,324,325,326,328,330,353,354,355,386,387,388,389,393	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	HKU5-24S_NVACE2_complex	3_HKU5-24S_NVACE2_complex_seed-42_sample-4	HKU5-24S	AGP04936	24S	KC522097.1	NVACE2	XM_044236017.1	long	entry-negative	0.1968	0.2	0.032109189	0.24	0.24	0.69	47,50,51,54,56,59,60,62,63,64,117,118,121,124,125,127,128,129,143,145,146,273,335,341,342,343,344,345,346,347,348,349,350,359,374,378,382,401,402,406,504,505,508,510,514,515,518	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	HKU5-27S_NVACE2_complex	4_HKU5-27S_NVACE2_complex_seed-42_sample-0	HKU5-27S	AGP04938	27S	KC522099.1	NVACE2	XM_044236017.1	long	entry-negative	0.8272	0.83	0.008906926	0.84	0.84	0.8	26,30,33,34,37,41,90,92,93,96,323,324,325,326,328,330,353,354,355,386,387,388,389,393	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	HKU5-28S_NVACE2_complex	5_HKU5-28S_NVACE2_complex_seed-42_sample-0	HKU5-28S	AGP04939	28S	KC522100.1	NVACE2	XM_044236017.1	long	entry-negative	0.8304	0.83	0.008888194	0.84	0.84	0.8	26,30,33,34,37,41,90,92,93,96,323,324,325,326,328,330,353,354,355,386,387,388,389,393	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	HKU5-33S_NVACE2_complex	6_HKU5-33S_NVACE2_complex_seed-42_sample-0	HKU5-33S	KC522104	33S	KC522104.1	NVACE2	XM_044236017.1	long	entry-negative	0.412	0.15	0.341027858	0.83	0.83	0.8	26,30,33,34,37,41,90,92,93,96,323,324,325,326,328,330,353,354,355,386,387,388,389,393	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	WZ2_NVACE2_complex	7_WZ2_NVACE2_complex_seed-42_sample-1	WZ2	OQ715761.1	WZ2	OQ715761.1	NVACE2	XM_044236017.1	long	entry-negative	0.2812	0.15	0.281429683	0.84	0.84	0.81	26,30,33,34,37,41,90,92,93,96,321,323,324,325,326,328,330,353,354,355,386,387,388,389,393	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	Q265_NVACE2_complex	8_Q265_NVACE2_complex_seed-2026_sample-0	Q265	OQ175285.1	Q265	OQ175285.1	NVACE2	XM_044236017.1	long	entry-positive	0.8352	0.83	0.007702813	0.85	0.85	0.8	26,30,33,34,37,41,90,93,96,323,324,325,326,328,329,353,354,355,386,387,388,389,393	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	NV23_NVACE2_complex	9_NV23_NVACE2_complex_seed-1337_sample-4	NV23	C_AA075371.1	NV-SD-L1	C_AA075371.1	NVACE2	XM_044236017.1	long	entry-positive	0.8128	0.81	0.007371115	0.83	0.83	0.79	26,30,33,34,37,41,90,93,96,322,324,325,326,328,329,353,354,355,386,387,388,389,393	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	HKU5-19S_NVACE2_complex	10_HKU5-19S_NVACE2_complex_seed-1337_sample-0	HKU5-19S	AGP04932	19S	KC522093.1	NVACE2	XM_044236017.1	short	entry-positive	0.4712	0.43	0.343927318	0.87	0.87	0.8	26,30,33,34,37,41,90,92,93,96,323,324,325,326,328,329,330,353,354,355,386,387,388,389,393	NA	NA	NA	NA	NA	NA	NA	NA	NA
